WELL,DEPTH,GR_norm,PEF,PHIA,PHIE,PHIN_norm,RHOB_norm,RoMS,RT,SwIrr,SwMS,VCL,VSH,Core_Kmax,anomaly_scores,anomaly
Pozo24,10512.4,39.8594,2.0389,0.1714,0.1399,0.2055,2.4232,17.3635,37.4235,0.2604,0.609,0.2788,0.2738,0.058,0.08657875194980286,1
Pozo24,10514.9,43.2247,2.5109,0.1751,0.14,0.211,2.4202,16.8157,42.2786,0.2602,0.5472,0.3198,0.2885,3.499,0.07058056251900696,1
Pozo24,10518.9,45.01,1.7927,0.178,0.1266,0.2265,2.4364,15.2306,54.0236,0.3062,0.4093,0.3416,0.3904,0.044,0.06941475324775837,1
Pozo24,10520.4,28.5512,2.074,0.1779,0.156,0.2018,2.3957,18.0698,45.8102,0.2156,0.5666,0.1409,0.1917,55.136,0.0641255924532474,1
Pozo24,10521.4,33.9847,2.1885,0.143,0.114,0.1862,2.4852,18.5308,58.0448,0.3592,0.4403,0.2071,0.3473,7.521,0.040141553544693676,1
Pozo24,10521.9,38.7705,2.2937,0.1375,0.1021,0.1905,2.5104,17.3837,63.6161,0.4219,0.4219,0.2655,0.426,1.209,0.045571336030854226,1
Pozo24,10522.4,41.7993,2.0614,0.1393,0.107,0.1879,2.5002,17.9464,54.8918,0.3942,0.4377,0.3024,0.3906,0.788,0.05596594692595358,1
Pozo24,10531.9,44.0982,1.9021,0.1811,0.1532,0.2091,2.3972,17.2257,39.8071,0.2228,0.5946,0.3305,0.2247,5.029,0.08684681663007665,1
Pozo24,10533.4,50.4407,2.3278,0.1716,0.1042,0.2368,2.4745,13.9908,37.1415,0.4095,0.4831,0.4078,0.5247,0.808,0.08476740223907225,1
Pozo24,10535.9,80.2853,2.1288,0.176,0.0954,0.2502,2.4821,13.0245,41.4502,0.4638,0.4638,0.7718,0.5972,0.0,0.053081803680733175,1
Pozo24,10540.4,98.7581,2.2193,0.168,0.1009,0.235,2.4832,13.9896,36.5567,0.4288,0.4857,0.997,0.5387,0.004,0.021081586654658535,1
Pozo24,10540.9,78.4505,2.3277,0.168,0.102,0.2339,2.4815,14.0914,49.574,0.422,0.422,0.7494,0.5302,0.089,0.06571461751311747,1
Pozo24,10550.4,73.0886,2.2253,0.174,0.106,0.2386,2.4693,13.9378,38.9159,0.3998,0.466,0.684,0.5194,0.185,0.08827483730305447,1
Pozo24,10553.9,66.2257,2.257,0.1499,0.0799,0.2308,2.5361,13.3249,41.6749,0.5868,0.5868,0.6003,0.6508,0.063,0.05931439960197177,1
Pozo24,10555.9,74.0746,1.8404,0.2054,0.1794,0.2257,2.3445,15.7509,42.5447,0.1648,0.5589,0.696,0.1629,2.179,0.04453812252176054,1
Pozo24,10559.9,42.4495,2.1254,0.2156,0.1614,0.2533,2.3563,13.6975,77.2352,0.2025,0.3208,0.3104,0.3028,4.765,0.0961071243519443,1
Pozo24,10560.9,23.9504,2.1285,0.2378,0.2054,0.2559,2.2873,13.2694,141.2244,0.1217,0.2474,0.0848,0.1451,861.816,0.11547666959877834,1
Pozo24,10561.9,22.4018,1.5974,0.2583,0.2438,0.2626,2.2308,12.344,80.1012,0.0751,0.3703,0.0659,0.0342,122.514,0.05802441796891622,1
Pozo24,10562.4,18.9771,1.8605,0.2551,0.2405,0.2598,2.2369,12.564,81.6924,0.0786,0.3687,0.0241,0.0377,915.409,0.08761008716170177,1
Pozo24,10562.9,23.2283,1.6319,0.243,0.2317,0.2472,2.2559,13.5263,95.2862,0.0882,0.3536,0.076,0.0335,401.524,0.091597623174346,1
Pozo24,10563.4,23.9868,1.8964,0.2309,0.2079,0.2442,2.2909,14.0487,207.5847,0.1182,0.21,0.0852,0.1066,161.251,0.12279553467028714,1
Pozo24,10563.9,24.0279,1.8121,0.2342,0.1988,0.2549,2.2976,13.4006,378.8549,0.1316,0.1316,0.0857,0.1661,121.031,0.09768015807857061,1
Pozo24,10564.4,21.629,1.7402,0.2513,0.2419,0.2533,2.2387,12.9543,304.8096,0.077,0.1889,0.0565,0.0161,185.902,0.09802432143135409,1
Pozo24,10564.9,16.7836,1.5973,0.2724,0.2628,0.2694,2.1957,11.4945,269.5784,0.057,0.195,0.0,0.0,4132.1992,0.0003096684654323445,1
Pozo24,10565.4,18.6399,1.6569,0.277,0.2667,0.2745,2.1886,11.1912,254.4128,0.0536,0.1982,0.02,0.0,2074.3831,0.0006952364337096117,1
Pozo24,10566.4,22.4138,1.7237,0.253,0.2373,0.2587,2.2418,12.68,558.8343,0.082,0.1245,0.066,0.0452,1471.833,0.09447620012353186,1
Pozo24,10566.9,14.755,1.8359,0.2584,0.2512,0.2509,2.2113,12.4808,250.3473,0.0677,0.2115,0.0,0.0,1828.726,0.0668341196996654,1
Pozo24,10568.9,12.8939,1.5234,0.2557,0.2421,0.2598,2.2347,12.5391,408.9473,0.0769,0.153,0.0,0.0325,9607.6211,0.0033562687313604123,1
Pozo24,10569.9,14.6709,1.6999,0.2421,0.2377,0.2342,2.2374,13.8015,236.2612,0.0815,0.2296,0.0,0.0,259.019,0.08813454475144089,1
Pozo24,10572.9,62.3493,1.954,0.1585,0.0866,0.2355,2.5154,13.417,242.124,0.5282,0.5282,0.553,0.6193,0.456,0.026366321845401164,1
Pozo24,10574.9,19.1336,2.3131,0.2084,0.1916,0.2214,2.3276,16.1061,98.5136,0.1432,0.3551,0.026,0.1044,1828.691,0.09009932309629409,1
PozoS2,10434.6,43.6373,2.1895,0.1832,0.0784,0.2733,2.4962,11.4403,36.4139,0.6021,0.6021,0.3248,0.7247,0.0,0.012211910671711235,1
PozoS2,10464.6,44.4452,2.0134,0.1888,0.1526,0.2211,2.3917,15.8376,32.1453,0.2243,0.6427,0.3347,0.2599,0.1,0.10423575888803943,1
PozoS2,10470.6,19.3062,2.0111,0.2611,0.2535,0.2556,2.2101,12.035,1201.3655,0.0656,0.0921,0.0281,0.0,3509.0,0.06430438186641257,1
PozoS2,10473.1,21.5892,1.9088,0.2533,0.247,0.2387,2.208,12.6171,1273.9816,0.0719,0.0915,0.056,0.0,2789.2,0.08170335669427575,1
PozoS2,10474.1,18.8798,2.0491,0.2543,0.2479,0.2511,2.225,12.5358,1099.4796,0.071,0.0985,0.0229,0.0,2851.7,0.08079016919943482,1
PozoS2,10481.1,41.5931,2.0931,0.178,0.1637,0.1954,2.385,18.6607,171.6665,0.1973,0.2559,0.2999,0.14,508.7,0.04798639269332916,1
PozoS2,10483.6,26.8834,1.8938,0.2454,0.2067,0.2659,2.279,12.428,72.6329,0.1199,0.3569,0.1205,0.1653,131.6,0.09490729370264256,1
PozoS2,10484.1,29.8709,1.8888,0.2493,0.2156,0.2661,2.2664,12.3076,79.965,0.1077,0.3428,0.157,0.1352,151.1,0.0970088700995268,1
PozoS2,10487.6,16.9866,1.9257,0.2096,0.2107,0.2066,2.2992,16.852,181.281,0.1144,0.292,0.0,0.0,3009.3,0.09544670729045562,1
PozoS2,10489.1,12.0916,1.853,0.2101,0.2111,0.2003,2.2873,16.7965,566.1708,0.1138,0.1616,0.0,0.0,2045.8,0.06787292785778481,1
PozoS2,10490.6,17.7468,1.9634,0.2077,0.2037,0.2116,2.3137,16.7095,349.6328,0.1243,0.1928,0.0091,0.0313,2689.7,0.10697568872924851,1
PozoS2,10491.6,14.3385,2.0993,0.2075,0.2089,0.2006,2.2962,17.1098,294.0554,0.1168,0.2291,0.0,0.0,7383.3999,0.062331410624089645,1
PozoS2,10492.1,16.87,2.0039,0.2021,0.2044,0.198,2.3098,17.8025,153.3971,0.1232,0.3276,0.0,0.0,5822.5,0.07552448792848082,1
